Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM,Year,MOM_Won
26,30.0,21,3,1,123.8,5,not out,2,v Zimbabwe,Harare,2010-12-06,Zimbabwe,T20I,No,2010,0
28,28.0,19,5,0,147.36,1,bowled,1,v South Africa,Durban,2011-09-01,South Africa,T20I,No,2011,0
14,15.0,12,2,0,116.66,3,caught,1,v West Indies,Port of Spain,2011-04-06,West Indies,T20I,No,2011,0
4,5.0,5,0,0,80.0,4,caught,1,v England,Manchester,2011-08-31,England,T20I,No,2011,0
15,21.0,16,3,0,93.75,3,caught,1,v England,Eden Gardens,2011-10-29,India,T20I,No,2011,0
22,30.0,21,0,1,104.76,3,caught,2,v Australia,Sydney,2012-01-02,Australia,T20I,No,2012,0
31,29.0,24,3,0,129.16,3,caught,2,v Australia,Melbourne,2012-03-02,Australia,T20I,No,2012,0
68,65.0,48,11,1,141.66,3,caught,1,v Sri Lanka,Pallekele,2012-07-08,Sri Lanka,T20I,Yes,2012,1
70,67.0,41,10,1,170.73,2,caught,2,v New Zealand,Chennai,2012-11-09,India,T20I,Yes,2012,1
50,60.0,39,4,2,128.2,3,caught,1,v Afghanistan,Colombo (RPS),2012-09-19,Sri Lanka,T20I,No,2012,0
40,33.0,32,6,0,125.0,3,caught,1,v England,Colombo (RPS),2012-09-23,Sri Lanka,T20I,No,2012,0
15,18.0,13,2,0,115.38,3,caught,1,v Australia,Colombo (RPS),2012-09-28,Sri Lanka,T20I,No,2012,0
78,61.0,61,8,2,127.86,3,not out,2,v Pakistan,Colombo (RPS),2012-09-30,Sri Lanka,T20I,Yes,2012,1
2,5.0,6,0,0,33.33,3,caught,1,v South Africa,Colombo (RPS),2012-02-10,Sri Lanka,T20I,No,2012,0
21,35.0,17,2,0,123.52,3,bowled,2,v England,Pune,2012-12-20,India,T20I,No,2012,0
38,25.0,20,7,0,190.0,3,lbw,1,v England,Wankhede,2012-12-22,India,T20I,No,2012,0
9,15.0,11,1,0,81.81,3,caught,1,v Pakistan,Bengaluru,2012-12-25,India,T20I,No,2012,0
27,31.0,22,3,0,122.72,3,run out,1,v Pakistan,Ahmedabad,2012-12-28,India,T20I,No,2012,0
29,26.0,22,2,1,131.81,4,caught,2,v Australia,Rajkot,2013-10-10,India,T20I,No,2013,0
36,45.0,32,4,1,112.5,3,not out,2,v Pakistan,Mirpur,2014-03-21,Bangladesh,T20I,No,2014,0
54,51.0,41,5,1,131.7,3,bowled,2,v West Indies,Mirpur,2014-03-23,Bangladesh,T20I,Yes,2014,1
57,66.0,50,3,1,114.0,3,not out,2,v Bangladesh,Mirpur,2014-03-28,Bangladesh,T20I,Yes,2014,1
23,23.0,22,2,1,104.54,3,caught,1,v Australia,Mirpur,2014-03-30,Bangladesh,T20I,No,2014,0
72,67.0,44,5,2,163.63,3,not out,2,v South Africa,Mirpur,2014-04-04,Bangladesh,T20I,Yes,2014,1
77,75.0,58,5,4,132.75,3,run out,1,v Sri Lanka,Mirpur,2014-06-04,Bangladesh,T20I,Yes,2014,1
66,54.0,41,9,1,160.97,3,caught,2,v England,Birmingham,2014-07-09,England,T20I,Yes,2014,1
43,58.0,27,1,3,159.25,3,caught,1,v South Africa,Dharamsala,2015-02-10,India,T20I,No,2015,0
1,3.0,1,0,0,100.0,3,run out,1,v South Africa,Cuttack,2015-05-10,India,T20I,No,2015,0
90,71.0,55,9,2,163.63,3,not out,1,v Australia,Adelaide,2016-01-26,Australia,T20I,Yes,2016,1
59,44.0,33,7,1,178.78,3,not out,1,v Australia,Melbourne,2016-01-29,Australia,T20I,Yes,2016,1
50,49.0,36,2,1,138.88,3,bowled,2,v Australia,Sydney,2016-01-31,Australia,T20I,No,2016,0
7,13.0,12,1,0,58.33,3,caught,1,v Bangladesh,Mirpur,2016-02-24,Bangladesh,T20I,No,2016,0
49,71.0,51,7,0,96.07,3,lbw,2,v Pakistan,Mirpur,2016-02-27,Bangladesh,T20I,No,2016,0
56,85.0,47,7,0,119.14,3,not out,2,v Sri Lanka,Mirpur,2016-01-03,Bangladesh,T20I,Yes,2016,1
41,62.0,28,5,0,146.42,3,not out,2,v Bangladesh,Mirpur,2016-06-03,Bangladesh,T20I,No,2016,0
23,56.0,27,2,0,85.18,3,caught,2,v New Zealand,Nagpur,2016-03-15,India,T20I,No,2016,0
55,66.0,37,7,1,148.64,3,not out,2,v Pakistan,Eden Gardens,2016-03-19,India,T20I,Yes,2016,1
24,37.0,24,0,1,100.0,3,bowled,1,v Bangladesh,Bengaluru,2016-03-23,India,T20I,No,2016,0
82,78.0,51,9,2,160.78,3,not out,2,v Australia,Mohali,2016-03-27,India,T20I,Yes,2016,1
89,63.0,47,11,1,189.36,3,not out,1,v West Indies,Wankhede,2016-03-31,India,T20I,Yes,2016,1
16,8.0,9,3,0,177.77,3,caught,2,v West Indies,Lauderhill,2016-08-27,USA,T20I,No,2016,0
29,34.0,26,4,0,111.53,1,caught,1,v England,Kanpur,2017-01-26,India,T20I,No,2017,0
21,17.0,15,2,1,140.0,1,caught,1,v England,Nagpur,2017-01-29,India,T20I,No,2017,0
2,6.0,4,0,0,50.0,1,run out,1,v England,Bengaluru,2017-01-02,India,T20I,No,2017,0
39,19.0,22,7,1,177.27,1,caught,1,v West Indies,Kingston,2017-09-07,West Indies,T20I,No,2017,0
82,19.0,54,7,1,151.85,3,caught,2,v Sri Lanka,Colombo (RPS),2017-06-09,Sri Lanka,T20I,Yes,2017,1
22,19.0,14,3,0,157.14,3,not out,2,v Australia,Ranchi,2017-07-10,India,T20I,No,2017,0
0,2.0,2,0,0,0.0,3,caught,1,v Australia,Guwahati,2017-10-10,India,T20I,No,2017,0
26,19.0,11,0,3,236.36,4,not out,1,v New Zealand,Delhi,2017-01-11,India,T20I,No,2017,0
65,59.0,42,8,1,154.76,4,caught,2,v New Zealand,Rajkot,2017-04-11,India,T20I,Yes,2017,1
13,6.0,6,1,1,216.66,3,caught,1,v New Zealand,Thiruvananthapuram,2017-07-11,India,T20I,No,2017,0
26,26.0,20,2,1,130.0,4,lbw,1,v South Africa,Johannesburg,2018-02-18,South Africa,T20I,No,2018,0
1,6.0,5,0,0,20.0,4,caught,1,v South Africa,Centurion,2018-02-21,South Africa,T20I,No,2018,0
0,1.0,2,0,0,0.0,6,caught,1,v Ireland,Dublin (Malahide),2018-06-27,Ireland,T20I,No,2018,0
9,5.0,8,1,0,112.5,2,caught,1,v Ireland,Dublin (Malahide),2018-06-29,Ireland,T20I,No,2018,0
20,56.0,22,0,1,90.9,4,not out,2,v England,Manchester,2018-03-07,England,T20I,No,2018,0
